valeur,cluster
6,0
5,0
6,0
8,0
5,0
5,0
8,0
7,0
4,0
6,0
4,0
4,0
5,0
1,0
2,0
4,0
3,0
6,0
3,0
2,0
8,0
5,0
5,0
2,0
4,0
5,0
3,0
6,0
4,0
4,0
4,0
9,0
5,0
3,0
7,0
3,0
5,0
1,0
2,0
5,0
6,0
5,0
5,0
4,0
2,0
4,0
4,0
7,0
6,0
1,0
16,1
14,1
14,1
16,1
17,1
17,1
13,1
14,1
16,1
17,1
14,1
15,1
13,1
13,1
17,1
18,1
15,1
17,1
16,1
14,1
16,1
18,1
15,1
18,1
10,1
17,1
15,1
14,1
15,1
11,1
15,1
16,1
18,1
14,1
13,1
14,1
17,1
16,1
14,1
16,1
15,1
17,1
14,1
14,1
14,1
12,1
16,1
16,1
15,1
15,1
22,2
24,2
24,2
23,2
25,2
26,2
29,2
25,2
26,2
25,2
21,2
25,2
25,2
30,2
25,2
26,2
25,2
23,2
27,2
27,2
27,2
23,2
28,2
22,2
26,2
29,2
23,2
24,2
25,2
24,2
22,2
25,2
23,2
26,2
23,2
28,2
23,2
24,2
27,2
23,2
25,2
28,2
22,2
25,2
26,2
27,2
23,2
22,2
26,2
26,2
36,3
36,3
34,3
35,3
36,3
34,3
39,3
36,3
33,3
36,3
33,3
37,3
37,3
33,3
37,3
36,3
37,3
39,3
35,3
33,3
33,3
33,3
35,3
36,3
36,3
37,3
35,3
38,3
34,3
40,3
36,3
33,3
33,3
36,3
35,3
36,3
36,3
35,3
33,3
32,3
34,3
37,3
35,3
33,3
35,3
36,3
33,3
35,3
35,3
33,3
